epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,783.64,0.55015,0.7142,1.03301,0.81152,0.875,0.89657,0.76911,0.49923,0.69326,1.04847,0.0012476,0.0012476,0.0012476
59,797.262,0.51059,0.66604,0.9979,0.76624,0.815,0.84562,0.76089,0.41927,0.72193,0.9559,0.0012344,0.0012344,0.0012344
60,810.376,0.52753,0.69381,1.0112,0.79465,0.83,0.87444,0.76981,0.44085,0.68257,0.97809,0.0012212,0.0012212,0.0012212
61,823.72,0.54425,0.68732,1.02152,0.91345,0.9575,0.96548,0.84743,0.40735,0.52376,0.9679,0.001208,0.001208,0.001208
62,837.077,0.49469,0.61352,1.00223,0.81538,0.89437,0.91204,0.81518,0.41234,0.6207,0.96555,0.0011948,0.0011948,0.0011948
63,850.109,0.51297,0.63815,1.00447,0.9027,0.92772,0.96455,0.85924,0.4117,0.50714,0.96362,0.0011816,0.0011816,0.0011816
64,863.655,0.52236,0.65153,1.01384,0.76262,0.81922,0.84358,0.74405,0.44567,0.78243,0.99636,0.0011684,0.0011684,0.0011684
65,876.787,0.52191,0.64802,1.01744,0.81501,0.80405,0.87226,0.74349,0.48703,0.72225,1.04325,0.0011552,0.0011552,0.0011552
66,890.245,0.52104,0.65217,1.01693,0.81353,0.8725,0.87891,0.77934,0.40626,0.64889,0.96581,0.001142,0.001142,0.001142
67,903.467,0.48394,0.59806,0.97853,0.88649,0.9175,0.95202,0.85826,0.41025,0.51309,0.96058,0.0011288,0.0011288,0.0011288
68,917.24,0.51912,0.66553,1.00737,0.80589,0.8525,0.86849,0.76589,0.43012,0.67429,0.97489,0.0011156,0.0011156,0.0011156
69,930.805,0.53284,0.67286,1.02406,0.90425,0.89712,0.94679,0.83094,0.43471,0.52872,0.99794,0.0011024,0.0011024,0.0011024
70,944.205,0.53381,0.65745,1.02179,0.76893,0.8275,0.86168,0.76959,0.44177,0.70054,0.98861,0.0010892,0.0010892,0.0010892
71,957.817,0.49222,0.61195,0.97798,0.84526,0.91,0.93044,0.84872,0.36328,0.52024,0.92866,0.001076,0.001076,0.001076
72,971.334,0.46694,0.57494,0.98668,0.84307,0.8975,0.89984,0.78746,0.44492,0.63108,1.00717,0.0010628,0.0010628,0.0010628
73,984.808,0.50806,0.59396,1.01469,0.83298,0.88522,0.89803,0.81689,0.38436,0.61015,0.96406,0.0010496,0.0010496,0.0010496
74,998.188,0.50591,0.61448,1.00651,0.94577,0.95928,0.97771,0.89382,0.35279,0.43124,0.92857,0.0010364,0.0010364,0.0010364
75,1011.66,0.49027,0.58179,0.99648,0.84166,0.91691,0.89751,0.80551,0.40897,0.61258,0.96996,0.0010232,0.0010232,0.0010232
76,1025.65,0.48296,0.61043,0.98785,0.88216,0.93573,0.95561,0.87448,0.34641,0.48798,0.92447,0.00101,0.00101,0.00101
77,1038.96,0.51,0.6522,1.01089,0.78246,0.86327,0.87588,0.77398,0.40239,0.68471,0.97113,0.0009968,0.0009968,0.0009968
78,1052.34,0.4705,0.60428,0.98402,0.8135,0.85057,0.87825,0.79435,0.38,0.66736,0.95631,0.0009836,0.0009836,0.0009836
79,1065.62,0.45902,0.56428,0.97687,0.79726,0.875,0.84452,0.7688,0.37685,0.71894,0.94581,0.0009704,0.0009704,0.0009704
80,1079.14,0.46624,0.58266,0.98191,0.86667,0.92629,0.92732,0.8311,0.41708,0.55102,0.98595,0.0009572,0.0009572,0.0009572
81,1092.56,0.51624,0.62724,1.01034,0.89699,0.89256,0.93234,0.84494,0.38157,0.53378,0.94576,0.000944,0.000944,0.000944
82,1105.99,0.44713,0.53888,0.9701,0.87621,0.885,0.90642,0.81473,0.38997,0.58923,0.96581,0.0009308,0.0009308,0.0009308
83,1119.44,0.47169,0.55768,0.98768,0.86107,0.875,0.91191,0.79465,0.47564,0.61814,1.04362,0.0009176,0.0009176,0.0009176
84,1132.6,0.47982,0.55108,0.98686,0.85579,0.8425,0.87113,0.7596,0.49132,0.70652,1.04626,0.0009044,0.0009044,0.0009044
85,1146.39,0.49071,0.58888,0.99637,0.92916,0.98378,0.98476,0.89847,0.35198,0.40606,0.9316,0.0008912,0.0008912,0.0008912
86,1159.69,0.49926,0.58351,1.00259,0.86429,0.87,0.88418,0.80516,0.40346,0.625,0.96681,0.000878,0.000878,0.000878
87,1172.98,0.43229,0.53815,0.96941,0.84729,0.855,0.88867,0.78583,0.43065,0.63302,0.99174,0.0008648,0.0008648,0.0008648
88,1186.11,0.44883,0.52531,0.97028,0.89996,0.9525,0.95471,0.87523,0.3773,0.43098,0.95811,0.0008516,0.0008516,0.0008516
89,1199.36,0.50118,0.55965,1.01139,0.87107,0.9025,0.91992,0.83175,0.41241,0.55237,0.98382,0.0008384,0.0008384,0.0008384
90,1212.5,0.46322,0.54639,0.9961,0.93698,0.965,0.97534,0.87635,0.40711,0.42742,0.98778,0.0008252,0.0008252,0.0008252
91,1226.05,0.47852,0.54974,0.98731,0.84563,0.885,0.89224,0.80294,0.41067,0.60149,0.98814,0.000812,0.000812,0.000812
92,1239.71,0.45695,0.53973,0.98914,0.87222,0.88741,0.92857,0.81189,0.47048,0.58156,1.04304,0.0007988,0.0007988,0.0007988
93,1253.12,0.42396,0.48319,0.95334,0.75319,0.82,0.83152,0.72004,0.53636,0.80712,1.12079,0.0007856,0.0007856,0.0007856
94,1266.49,0.49071,0.55759,1.00435,0.93452,0.9475,0.97027,0.88784,0.37161,0.41735,0.9613,0.0007724,0.0007724,0.0007724
95,1279.72,0.44812,0.51922,0.98334,0.86464,0.92622,0.92664,0.84843,0.35669,0.50392,0.94185,0.0007592,0.0007592,0.0007592
96,1293.05,0.44381,0.48621,0.96417,0.88908,0.90174,0.93103,0.86811,0.31531,0.48659,0.90768,0.000746,0.000746,0.000746
97,1306.65,0.43281,0.49503,0.95691,0.88667,0.89972,0.93875,0.83602,0.41607,0.52215,1.00166,0.0007328,0.0007328,0.0007328
98,1320.17,0.43825,0.48631,0.96519,0.90116,0.91172,0.93031,0.84455,0.38785,0.51325,0.95959,0.0007196,0.0007196,0.0007196
99,1333.48,0.49385,0.53575,1.00332,0.92038,0.92472,0.93805,0.86023,0.38566,0.47881,0.95954,0.0007064,0.0007064,0.0007064
100,1346.99,0.4299,0.5018,0.97023,0.95703,0.9475,0.97776,0.9133,0.31953,0.37704,0.91256,0.0006932,0.0006932,0.0006932
101,1360.32,0.44809,0.50365,0.99752,0.86037,0.86268,0.89378,0.81104,0.40673,0.63313,0.9878,0.00068,0.00068,0.00068
102,1374,0.41932,0.48125,0.96779,0.88955,0.875,0.91721,0.80992,0.45789,0.57919,1.0357,0.0006668,0.0006668,0.0006668
103,1387.29,0.44603,0.52206,0.98369,0.86951,0.88,0.91743,0.8201,0.41953,0.55666,1.00062,0.0006536,0.0006536,0.0006536
104,1400.73,0.43868,0.48104,0.97465,0.89654,0.9099,0.91613,0.85641,0.32374,0.52515,0.91235,0.0006404,0.0006404,0.0006404
105,1413.99,0.41117,0.47729,0.95669,0.95778,0.96414,0.98474,0.92478,0.31058,0.33907,0.89787,0.0006272,0.0006272,0.0006272
106,1427.58,0.43301,0.50507,0.958,0.8773,0.9025,0.92491,0.83548,0.41143,0.52001,0.98773,0.000614,0.000614,0.000614
107,1440.83,0.41518,0.46462,0.95468,0.79917,0.79,0.8069,0.69873,0.55552,0.80328,1.15516,0.0006008,0.0006008,0.0006008
108,1454.23,0.39067,0.431,0.93823,0.94333,0.9572,0.97015,0.90405,0.33018,0.36822,0.92541,0.0005876,0.0005876,0.0005876
109,1467.47,0.40534,0.44115,0.95102,0.93473,0.9475,0.96773,0.91496,0.29983,0.38282,0.89761,0.0005744,0.0005744,0.0005744
110,1480.82,0.4368,0.4667,0.96789,0.77302,0.86,0.86348,0.76729,0.45957,0.70701,1.05615,0.0005612,0.0005612,0.0005612
111,1494.48,0.4494,0.51175,0.98196,0.83186,0.905,0.91338,0.83918,0.36222,0.54684,0.95465,0.000548,0.000548,0.000548
112,1507.82,0.38398,0.44988,0.94572,0.89142,0.94415,0.93754,0.8796,0.29838,0.43812,0.90411,0.0005348,0.0005348,0.0005348
113,1520.92,0.42371,0.49409,0.9585,0.95392,0.9775,0.98496,0.92792,0.30565,0.32336,0.90235,0.0005216,0.0005216,0.0005216
114,1534.39,0.4175,0.46987,0.96478,0.96397,0.9825,0.98978,0.94094,0.26531,0.29994,0.88144,0.0005084,0.0005084,0.0005084
115,1548.2,0.40258,0.45325,0.94662,0.96174,0.96,0.98085,0.91739,0.31267,0.34384,0.90853,0.0004952,0.0004952,0.0004952
116,1561.75,0.40307,0.43273,0.95495,0.86366,0.8825,0.90174,0.83241,0.3588,0.57468,0.95363,0.000482,0.000482,0.000482
117,1575.56,0.41574,0.47552,0.95215,0.87899,0.89,0.92126,0.83356,0.4051,0.52915,0.99993,0.0004688,0.0004688,0.0004688
118,1589.49,0.40648,0.44354,0.95136,0.89231,0.9125,0.9404,0.86678,0.36297,0.47125,0.94613,0.0004556,0.0004556,0.0004556
119,1602.78,0.41413,0.45897,0.94483,0.83807,0.91,0.91351,0.82865,0.39176,0.55541,0.98271,0.0004424,0.0004424,0.0004424
120,1616.33,0.42383,0.46043,0.95253,0.89543,0.94189,0.95262,0.8658,0.39905,0.44892,0.98414,0.0004292,0.0004292,0.0004292
121,1629.95,0.42874,0.48926,0.96615,0.94062,0.985,0.98198,0.92313,0.30579,0.31587,0.90523,0.000416,0.000416,0.000416
122,1643.44,0.39578,0.44022,0.93286,0.87136,0.8806,0.91568,0.81379,0.43207,0.53188,1.03197,0.0004028,0.0004028,0.0004028
123,1656.7,0.39812,0.42396,0.9475,0.86855,0.89198,0.91036,0.85593,0.31139,0.5157,0.91072,0.0003896,0.0003896,0.0003896
124,1670.08,0.4033,0.4575,0.95211,0.85184,0.89114,0.91487,0.82996,0.38551,0.51601,0.99154,0.0003764,0.0003764,0.0003764
